run_id,client_id,period,channel,is_correction_run,submitted_at,validated_at,approved_at,value_date,employee_count,accepted_count,rejected_count,total_gross,total_net,status
PR-202601-0048,CL-007,2026-01,web,False,2026-02-09 15:11:00,2026-02-09 15:17:00,2026-02-09 17:17:00,2026-02-11,84,84,0,3698142.92,2952505.77,COMPLETED
PR-202602-0049,CL-007,2026-02,web,False,2026-03-10 11:21:00,2026-03-10 11:27:00,2026-03-10 12:27:00,2026-03-12,85,85,0,3722329.38,2972973.75,COMPLETED
PR-202603-0050,CL-007,2026-03,web,False,2026-04-11 14:37:00,2026-04-11 14:41:00,2026-04-11 18:41:00,2026-04-13,85,85,0,3787000.84,3020830.59,COMPLETED
PR-202604-0051,CL-007,2026-04,web,False,2026-05-11 13:46:00,2026-05-11 13:49:00,2026-05-12 15:49:00,2026-05-13,85,85,0,3750629.71,2993916.01,COMPLETED
PR-202605-0052,CL-007,2026-05,web,False,2026-06-11 09:19:00,2026-06-11 09:24:00,2026-06-11 19:24:00,2026-06-13,85,85,0,3768783.44,3007349.77,COMPLETED
PR-202606-0053,CL-007,2026-06,web,False,2026-07-09 12:41:00,2026-07-09 12:43:00,2026-07-09 22:43:00,2026-07-11,85,85,0,3804907.32,3034081.35,COMPLETED
PR-202607-0054,CL-007,2026-07,web,False,2026-08-09 11:27:00,2026-08-09 11:32:00,2026-08-10 14:32:00,2026-08-11,85,85,0,3813207.77,3040223.73,COMPLETED
PR-202512-0055,CL-008,2025-12,sftp,False,2026-01-03 11:03:00,2026-01-03 11:09:00,2026-01-04 08:09:00,2026-01-05,74,74,0,3072607.11,2463909.3,COMPLETED
PR-202601-0056,CL-008,2026-01,sftp,False,2026-02-05 11:07:00,2026-02-05 11:10:00,2026-02-06 05:10:00,2026-02-07,74,74,0,3018376.56,2423778.65,COMPLETED
PR-202602-0057,CL-008,2026-02,sftp,False,2026-03-05 08:35:00,2026-03-05 08:36:00,2026-03-05 19:36:00,2026-03-07,74,74,0,3003615.14,2412855.18,COMPLETED
PR-202603-0058,CL-008,2026-03,sftp,False,2026-04-05 09:06:00,2026-04-05 09:10:00,2026-04-06 12:10:00,2026-04-07,74,74,0,3000436.27,2410502.84,COMPLETED
PR-202604-0059,CL-008,2026-04,sftp,False,2026-05-03 08:30:00,2026-05-03 08:33:00,2026-05-03 16:33:00,2026-05-05,74,74,0,3033691.66,2435111.81,COMPLETED
PR-202605-0060,CL-008,2026-05,sftp,False,2026-06-03 09:07:00,2026-06-03 09:13:00,2026-06-03 13:13:00,2026-06-05,74,74,0,3031302.88,2433344.13,COMPLETED
PR-202606-0061,CL-008,2026-06,sftp,False,2026-07-04 07:00:00,2026-07-04 07:05:00,2026-07-05 00:05:00,2026-07-06,74,74,0,2981721.1,2396653.65,COMPLETED
PR-202607-0062,CL-008,2026-07,sftp,False,2026-08-03 11:53:00,2026-08-03 11:56:00,2026-08-04 11:56:00,2026-08-05,74,74,0,3039932.21,2439729.85,COMPLETED
PR-202605-0063,CL-009,2026-05,web,False,2026-06-14 16:36:00,2026-06-14 16:37:00,2026-06-15 15:37:00,2026-06-16,58,58,0,2331448.96,1874332.24,COMPLETED
PR-202606-0064,CL-009,2026-06,web,False,2026-07-11 16:15:00,2026-07-11 16:16:00,2026-07-12 18:16:00,2026-07-13,58,58,0,2337578.63,1878868.21,COMPLETED
PR-202512-0065,CL-011,2025-12,web,False,2026-01-05 15:38:00,2026-01-05 15:40:00,2026-01-06 20:40:00,2026-01-07,62,62,0,2615089.55,2094506.24,COMPLETED
PR-202601-0066,CL-011,2026-01,web,False,2026-02-03 09:46:00,2026-02-03 09:52:00,2026-02-04 04:52:00,2026-02-05,62,62,0,2636877.85,2110629.64,COMPLETED
PR-202602-0067,CL-011,2026-02,web,False,2026-03-04 11:52:00,2026-03-04 11:58:00,2026-03-04 20:58:00,2026-03-06,62,62,0,2623646.5,2100838.45,COMPLETED
PR-202603-0068,CL-011,2026-03,web,False,2026-04-04 09:03:00,2026-04-04 09:07:00,2026-04-05 04:07:00,2026-04-06,62,62,0,2648964.65,2119573.87,COMPLETED
PR-202604-0069,CL-011,2026-04,web,False,2026-05-04 08:43:00,2026-05-04 08:48:00,2026-05-05 04:48:00,2026-05-06,62,62,0,2577697.69,2066836.29,COMPLETED
PR-202605-0070,CL-011,2026-05,web,False,2026-06-04 16:09:00,2026-06-04 16:12:00,2026-06-05 13:12:00,2026-06-06,62,62,0,2569798.25,2060990.7,COMPLETED
PR-202606-0071,CL-011,2026-06,web,False,2026-07-05 07:45:00,2026-07-05 07:46:00,2026-07-05 14:46:00,2026-07-07,62,62,0,2611272.34,2091681.53,COMPLETED
PR-202607-0072,CL-011,2026-07,web,False,2026-08-04 16:42:00,2026-08-04 16:47:00,2026-08-04 20:47:00,2026-08-06,62,61,1,2557749.45,2049504.64,PARTIALLY_COMPLETED
PR-202512-0073,CL-012,2025-12,sftp,False,2026-01-07 10:16:00,2026-01-07 10:19:00,2026-01-08 00:19:00,2026-01-09,28,28,0,1637282.4,1283549.0,COMPLETED
PR-202601-0074,CL-012,2026-01,sftp,False,2026-02-09 13:15:00,2026-02-09 13:18:00,2026-02-10 19:18:00,2026-02-11,28,28,0,1660298.83,1300581.13,COMPLETED
PR-202602-0075,CL-012,2026-02,sftp,False,2026-03-07 13:36:00,2026-03-07 13:41:00,2026-03-08 03:41:00,2026-03-09,28,28,0,1652422.43,1294752.6,COMPLETED
PR-202603-0076,CL-012,2026-03,sftp,False,2026-04-09 16:42:00,2026-04-09 16:45:00,2026-04-10 10:45:00,2026-04-11,28,28,0,1636531.69,1282993.45,COMPLETED
PR-202604-0077,CL-012,2026-04,sftp,False,2026-05-09 11:42:00,2026-05-09 11:43:00,2026-05-10 14:43:00,2026-05-11,28,28,0,1632683.05,1280145.47,COMPLETED
PR-202605-0078,CL-012,2026-05,sftp,False,2026-06-08 07:53:00,2026-06-08 07:57:00,2026-06-09 12:57:00,2026-06-10,28,28,0,1630104.83,1278237.57,COMPLETED
PR-202606-0079,CL-012,2026-06,sftp,False,2026-07-06 09:08:00,2026-07-06 09:09:00,2026-07-06 23:09:00,2026-07-08,28,28,0,1664138.48,1303422.47,COMPLETED
PR-202607-0080,CL-012,2026-07,sftp,False,2026-08-06 10:19:00,2026-08-06 10:22:00,2026-08-07 07:22:00,2026-08-08,28,28,0,1653338.02,1295430.13,COMPLETED
